Status usu?o;Data-base in?;Ordem;Nota;Tipo de ordem;Status sistema;Loc.instala?;TEXTO;Denomina?;Tipo ativid.PM;
DISM PROG;18/04/2017;21073434;10961061;ZM01;ENCE CONF IMPR CAPC MOME MatC NOLQ;2015-00-02-01-03-06;DAR BAIXA RC PE?- SELO BOMBA DE RECEBIM;ESTA?O DE MALTOSE;110;PROCESSO
DISM PROG;24/05/2017;21104196;10987299;ZM01;ENCE CONF IMPR CAPC DNAT MOME NOLQ;2015-30-31-01-10-01;REVISÏ DO REATOR 1 ETA;DOSAGEM DE PRODUTO TRATAMENTO DE AGUA 1;120;ETA
MAOB;14/06/2017;21140735;11018824;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-40-42-01-04-03;RC SERV - REALAIZAR MANUTEN?O EMERGENCI;COMPRESSAO DE AR 3;110;UTILIDADES
DISM PROG;15/07/2017;21171903;11045402;ZM01;ENCE CONF CAPC CAPF DNAT IMPA NOLQ SCDM;2015-40-45-01-03-06;RC- DESARME NA SUBESTA?O UTILIDADES;CUB?ULOS 13.8KV (TRAFO 06 13,8/4,16KV);115;UTILIDADES
MAOB;01/03/2018;21327748;11182169;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-00-03-01-03-07;ANOMALIA: VLVULA DO FMT07 EST`DESCALIB;TANCAGEM FERMENTA?O - YST07;110;PROCESSO
MAOB;30/08/2018;21362826;11212854;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-00-02-01-03-06-03;RC PARA SERVI? DE MANUTEN?O DA BOMBA L;LINHA DE MALTOSE;110;PROCESSO
DISM PROG;09/06/2018;21376618;11223719;ZM01;ENCE CONF CAPC IMPA NOLQ SCDM;2015-40-45-01-02;NR10(ITEM 72):PEND?CIA DE LAUDO DAS IE;SUBESTA?O CALDEIRA - 13,8/0,38KV;110;UTILIDADES
DISM PROG;30/07/2018;21414945;11256388;ZM01;ENCE CONF CAPC IMPA MOME MatC NOLQ;2015-80-01-01-06;REALZIAR TROCA DA CORREIA DO TRITURADOR;CENTRAL DE RESIDUOS;110;OUTROS
MAOB;24/02/2018;21451792;11287854;ZM01;ENCE CONF CAPC CAPF NOLQ SCDM;2015-40-42-01-04-01;SOBRECARGA NO COMPRESSOR DE AR 1;COMPRESSAO DE AR 1;120;UTILIDADES
MAOB;12/03/2018;21474375;11308130;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-40-41-01-05-04;DAR BAIXA MOTORES COM BAIXA ISOLA?O.;CONDENSACAO GERACAO DE FRIO 4;110;UTILIDADES
MAOB;16/03/2018;21477592;11310400;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-30-30-01-05-03;PO?-3 PARADO POR FALTA DOS CABOS DE ALI;POCO 03 - ITM;110;ETA
MAOB;15/04/2018;21486527;11319351;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-00-04-01-02;SERVI? DE RECUPERA?O DA BOMBA DE CIP D;ESTA?O DE CIP - PROPAGA?O;110;PROCESSO
